Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,TimeDimension,TimeDim,Value,NumericValue,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
28119669,MALARIA_TOTAL_CASES,COUNTRY,AGO,YEAR,2010,3 687 574,3687574,2022-02-10T12:40:09Z,2010,01-01-10,31-12-10
28119670,MALARIA_TOTAL_CASES,COUNTRY,AGO,YEAR,2011,3 501 953,3501953,2022-02-10T12:40:09Z,2011,01-01-11,31-12-11
28119671,MALARIA_TOTAL_CASES,COUNTRY,AGO,YEAR,2012,3 031 546,3031546,2022-02-10T12:40:09Z,2012,01-01-12,31-12-12
28119672,MALARIA_TOTAL_CASES,COUNTRY,AGO,YEAR,2013,3 144 100,3144100,2022-02-10T12:40:09Z,2013,01-01-13,31-12-13
28119673,MALARIA_TOTAL_CASES,COUNTRY,AGO,YEAR,2014,3 180 021,3180021,2022-02-10T12:40:09Z,2014,01-01-14,31-12-14
28119674,MALARIA_TOTAL_CASES,COUNTRY,AGO,YEAR,2015,3 254 270,3254270,2022-02-10T12:40:09Z,2015,01-01-15,31-12-15
28119675,MALARIA_TOTAL_CASES,COUNTRY,AGO,YEAR,2016,4 301 146,4301146,2022-02-10T12:40:09Z,2016,01-01-16,31-12-16
28119676,MALARIA_TOTAL_CASES,COUNTRY,AGO,YEAR,2017,4 500 221,4500221,2022-02-10T12:40:09Z,2017,01-01-17,31-12-17
28119677,MALARIA_TOTAL_CASES,COUNTRY,AGO,YEAR,2018,5 928 260,5928260,2022-02-10T12:40:09Z,2018,01-01-18,31-12-18
28119678,MALARIA_TOTAL_CASES,COUNTRY,AGO,YEAR,2019,7 530 788,7530788,2022-02-10T12:40:09Z,2019,01-01-19,31-12-19
28119679,MALARIA_TOTAL_CASES,COUNTRY,AGO,YEAR,2020,7 156 110,7156110,2022-02-10T12:40:09Z,2020,01-01-20,31-12-20
28119680,MALARIA_TOTAL_CASES,COUNTRY,BDI,YEAR,2010,4 255 301,4255301,2022-02-10T12:40:09Z,2010,01-01-10,31-12-10
28119681,MALARIA_TOTAL_CASES,COUNTRY,BDI,YEAR,2011,3 307 158,3307158,2022-02-10T12:40:09Z,2011,01-01-11,31-12-11
28119682,MALARIA_TOTAL_CASES,COUNTRY,BDI,YEAR,2012,2 600 286,2600286,2022-02-10T12:40:09Z,2012,01-01-12,31-12-12
28119683,MALARIA_TOTAL_CASES,COUNTRY,BDI,YEAR,2013,4 567 428,4567428,2022-02-10T12:40:09Z,2013,01-01-13,31-12-13
28119684,MALARIA_TOTAL_CASES,COUNTRY,BDI,YEAR,2014,4 987 388,4987388,2022-02-10T12:40:09Z,2014,01-01-14,31-12-14
28119685,MALARIA_TOTAL_CASES,COUNTRY,BDI,YEAR,2015,5 512 414,5512414,2022-02-10T12:40:09Z,2015,01-01-15,31-12-15
28119686,MALARIA_TOTAL_CASES,COUNTRY,BDI,YEAR,2016,8 902 503,8902503,2022-02-10T12:40:09Z,2016,01-01-16,31-12-16
28119687,MALARIA_TOTAL_CASES,COUNTRY,BDI,YEAR,2017,9 259 694,9259694,2022-02-10T12:40:09Z,2017,01-01-17,31-12-17
28119688,MALARIA_TOTAL_CASES,COUNTRY,BDI,YEAR,2018,5 149 436,5149436,2022-02-10T12:40:09Z,2018,01-01-18,31-12-18
28119689,MALARIA_TOTAL_CASES,COUNTRY,BDI,YEAR,2019,9 983 843,9983843,2022-02-10T12:40:09Z,2019,01-01-19,31-12-19
28119690,MALARIA_TOTAL_CASES,COUNTRY,BDI,YEAR,2020,4 732 339,4732339,2022-02-10T12:40:09Z,2020,01-01-20,31-12-20
28119691,MALARIA_TOTAL_CASES,COUNTRY,BEN,YEAR,2010,1 873 015,1873015,2022-02-10T12:40:09Z,2010,01-01-10,31-12-10
28119692,MALARIA_TOTAL_CASES,COUNTRY,BEN,YEAR,2011,1 786 864,1786864,2022-02-10T12:40:09Z,2011,01-01-11,31-12-11
28119693,MALARIA_TOTAL_CASES,COUNTRY,BEN,YEAR,2012,2 069 728,2069728,2022-02-10T12:40:09Z,2012,01-01-12,31-12-12
28119694,MALARIA_TOTAL_CASES,COUNTRY,BEN,YEAR,2013,1 717 115,1717115,2022-02-10T12:40:09Z,2013,01-01-13,31-12-13
28119695,MALARIA_TOTAL_CASES,COUNTRY,BEN,YEAR,2014,2 122 011,2122011,2022-02-10T12:40:09Z,2014,01-01-14,31-12-14
28119696,MALARIA_TOTAL_CASES,COUNTRY,BEN,YEAR,2015,2 042 684,2042684,2022-02-10T12:40:09Z,2015,01-01-15,31-12-15
28119697,MALARIA_TOTAL_CASES,COUNTRY,BEN,YEAR,2016,1 667 005,1667005,2022-02-10T12:40:09Z,2016,01-01-16,31-12-16
28119698,MALARIA_TOTAL_CASES,COUNTRY,BEN,YEAR,2017,1 968 532,1968532,2022-02-10T12:40:09Z,2017,01-01-17,31-12-17
28119699,MALARIA_TOTAL_CASES,COUNTRY,BEN,YEAR,2018,2 255 946,2255946,2022-02-10T12:40:10Z,2018,01-01-18,31-12-18
28119700,MALARIA_TOTAL_CASES,COUNTRY,BEN,YEAR,2019,3 084 525,3084525,2022-02-10T12:40:10Z,2019,01-01-19,31-12-19
28119701,MALARIA_TOTAL_CASES,COUNTRY,BEN,YEAR,2020,2 632 324,2632324,2022-02-10T12:40:10Z,2020,01-01-20,31-12-20
28119702,MALARIA_TOTAL_CASES,COUNTRY,BFA,YEAR,2010,5 723 481,5723481,2022-02-10T12:40:10Z,2010,01-01-10,31-12-10
28119703,MALARIA_TOTAL_CASES,COUNTRY,BFA,YEAR,2011,5 024 697,5024697,2022-02-10T12:40:10Z,2011,01-01-11,31-12-11
28119704,MALARIA_TOTAL_CASES,COUNTRY,BFA,YEAR,2012,6 970 700,6970700,2022-02-10T12:40:10Z,2012,01-01-12,31-12-12
28119705,MALARIA_TOTAL_CASES,COUNTRY,BFA,YEAR,2013,7 146 026,7146026,2022-02-10T12:40:10Z,2013,01-01-13,31-12-13
28119706,MALARIA_TOTAL_CASES,COUNTRY,BFA,YEAR,2014,8 278 408,8278408,2022-02-10T12:40:10Z,2014,01-01-14,31-12-14
28119707,MALARIA_TOTAL_CASES,COUNTRY,BFA,YEAR,2015,8 286 453,8286453,2022-02-10T12:40:10Z,2015,01-01-15,31-12-15
28119708,MALARIA_TOTAL_CASES,COUNTRY,BFA,YEAR,2016,9 799 818,9799818,2022-02-10T12:40:10Z,2016,01-01-16,31-12-16
28119709,MALARIA_TOTAL_CASES,COUNTRY,BFA,YEAR,2017,12 255 671,12255671,2022-02-10T12:40:10Z,2017,01-01-17,31-12-17
28119710,MALARIA_TOTAL_CASES,COUNTRY,BFA,YEAR,2018,11 991 146,11991146,2022-02-10T12:40:10Z,2018,01-01-18,31-12-18
28119711,MALARIA_TOTAL_CASES,COUNTRY,BFA,YEAR,2019,6 475 027,6475027,2022-02-10T12:40:10Z,2019,01-01-19,31-12-19
28119712,MALARIA_TOTAL_CASES,COUNTRY,BFA,YEAR,2020,11 567 698,11567698,2022-02-10T12:40:10Z,2020,01-01-20,31-12-20
28119713,MALARIA_TOTAL_CASES,COUNTRY,BWA,YEAR,2010,12 196,12196,2022-02-10T12:40:10Z,2010,01-01-10,31-12-10
28119714,MALARIA_TOTAL_CASES,COUNTRY,BWA,YEAR,2011,1 141,1141,2022-02-10T12:40:10Z,2011,01-01-11,31-12-11
28119715,MALARIA_TOTAL_CASES,COUNTRY,BWA,YEAR,2012,308,308,2022-02-10T12:40:10Z,2012,01-01-12,31-12-12
28119716,MALARIA_TOTAL_CASES,COUNTRY,BWA,YEAR,2013,506,506,2022-02-10T12:40:10Z,2013,01-01-13,31-12-13
28119717,MALARIA_TOTAL_CASES,COUNTRY,BWA,YEAR,2014,1 485,1485,2022-02-10T12:40:10Z,2014,01-01-14,31-12-14
28119718,MALARIA_TOTAL_CASES,COUNTRY,BWA,YEAR,2015,346,346,2022-02-10T12:40:10Z,2015,01-01-15,31-12-15
